New Tree Number,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured,Elk Browse
73,5,Seattle,WA,6/17/2024,135,27.2,Alive,,2024,
74,6,Seattle,WA,6/17/2024,148,37.1,Alive,,2024,
,7,Seattle,WA,6/17/2024,94,7.8,Dead,,2024,
,8,Seattle,WA,6/17/2024,,,Missing,,2024,
80,9,Seattle,WA,6/17/2024,149,30.7,Alive,,2024,
81,10,Seattle,WA,6/17/2024,148,24.6,Alive,,2024,
82,11,Seattle,WA,6/17/2024,133,30.5,Alive,,2024,
83,12,Seattle,WA,6/17/2024,111,23.7,Alive,,2024,
84,13,Seattle,WA,6/17/2024,110,15.6,Alive,,2024,
85,14,Seattle,WA,6/17/2024,131,30,Alive,,2024,
86,15,Seattle,WA,6/17/2024,115,24.6,Alive,,2024,
87,16,Seattle,WA,6/17/2024,144,37.3,Alive,,2024,
95,17,Seattle,WA,6/17/2024,140,26.1,Alive,,2024,
96,18,Seattle,WA,6/17/2024,141,27.5,Alive,,2024,
,19,Seattle,WA,6/17/2024,,,Missing,,2024,
97,20,Seattle,WA,6/17/2024,126,28.9,Alive,,2024,
98,21,Seattle,WA,6/17/2024,133,27.9,Alive,,2024,
99,22,Seattle,WA,6/17/2024,112,25.1,Alive,,2024,
100,23,Seattle,WA,6/17/2024,146,30.7,Alive,,2024,
101,24,Seattle,WA,6/17/2024,110,22.5,Alive,,2024,
102,25,Seattle,WA,6/17/2024,147,25.2,Alive,,2024,
103,26,Seattle,WA,6/17/2024,95,13,Alive,,2024,
104,27,Seattle,WA,6/17/2024,141,26.7,Alive,,2024,
,28,Seattle,WA,6/17/2024,91,20.5,Dead,,2024,
,29,Seattle,WA,6/17/2024,,,Missing,,2024,
,30,Seattle,WA,6/17/2024,,,Missing,,2024,
115,31,Seattle,WA,6/17/2024,129,24.5,Alive,,2024,
116,32,Seattle,WA,6/17/2024,170,32.9,Alive,,2024,
117,33,Seattle,WA,6/17/2024,159,29.9,Alive,,2024,
118,34,Seattle,WA,6/17/2024,142,30.4,Alive,,2024,
119,35,Seattle,WA,6/17/2024,177,40.7,Alive,,2024,
120,36,Seattle,WA,6/17/2024,163,34.9,Alive,,2024,
121,37,Seattle,WA,6/17/2024,148,34.7,Alive,,2024,
122,38,Seattle,WA,6/17/2024,166,33.2,Alive,,2024,
123,39,Seattle,WA,6/17/2024,134,30.4,Alive,,2024,
124,40,Seattle,WA,6/17/2024,137,24.2,Alive,,2024,
,41,Seattle,WA,6/17/2024,,,Missing,,2024,
,42,Seattle,WA,6/17/2024,,,Missing,,2024,
136,43,Seattle,WA,6/17/2024,123,23.1,Alive,,2024,
,44,Seattle,WA,6/17/2024,,,Missing,,2024,
,45,Seattle,WA,6/17/2024,,,Missing,,2024,
,46,Seattle,WA,6/17/2024,,,Missing,,2024,
,47,Seattle,WA,6/17/2024,,,Missing,,2024,
,48,Seattle,WA,6/17/2024,,,Missing,,2024,
137,49,Seattle,WA,6/17/2024,162,30.6,Alive,,2024,
,50,Seattle,WA,6/17/2024,,,,,2024,
,126,Swan Creek,OR,6/7/2024,102,21.4,Dead,,2024,
7,127,Swan Creek,OR,6/7/2024,111,21.5,Alive,,2024,
8,128,Swan Creek,OR,6/7/2024,123,30.7,Alive,,2024,
9,129,Swan Creek,OR,6/7/2024,164,46.1,Alive,Curved and needs a stake,2024,
10,130,Swan Creek,OR,6/7/2024,146,33.8,Alive,,2024,
11,131,Swan Creek,OR,6/7/2024,138,43.2,Alive,,2024,
,132,Swan Creek,OR,6/7/2024,,,Missing,,2024,
,133,Swan Creek,OR,6/7/2024,,,Missing,,2024,
12,134,Swan Creek,OR,6/7/2024,113,20.5,Alive,,2024,
20,135,Swan Creek,OR,6/7/2024,108,30.7,Alive,,2024,
21,136,Swan Creek,OR,6/7/2024,115,32.6,Alive,,2024,
,137,Swan Creek,OR,6/7/2024,82,18.9,Dead,,2024,
22,138,Swan Creek,OR,6/7/2024,145,23.1,Alive,,2024,
23,139,Swan Creek,OR,6/7/2024,111,22.7,Alive,,2024,
24,140,Swan Creek,OR,6/7/2024,112,23.9,Alive,,2024,
25,141,Swan Creek,OR,6/7/2024,146,27,Alive,,2024,
26,142,Swan Creek,OR,6/7/2024,89,19.2,Alive,2 leaders,2024,
,143,Swan Creek,OR,6/7/2024,,,Missing,,2024,
,144,Swan Creek,OR,6/7/2024,78,15.4,Alive,,2024,
32,145,Swan Creek,OR,6/7/2024,118,21.5,Alive,,2024,
,146,Swan Creek,OR,6/7/2024,,,Missing,,2024,
33,147,Swan Creek,OR,6/7/2024,96,19.8,Alive,,2024,
